Name,Median price,Quarterly growth,12-month growth,Average Annual Growth,Weekly median advertised rent,Number of sales,Gross rental yield,Days on market
BRIGHTON LE SANDS,"$1,420,000",3.20%,10.94%,5.79%,$650,43,2.38%,76.8571428571429
BRIGHTWATERS,"$802,500",3.55%,5.59%,7.61%,$350,18,2.27%,50.7142857142857
BRIMBIN,,,,,,,,
BRINDABELLA,,,,,,,,
BRINGELLY,"$2,937,500",1.12%,21.13%,13.56%,$600,16,1.06%,N/A
BRINGENBRONG,,,,,,,,
BROADMEADOW,"$640,000",0.59%,3.23%,5.93%,$415,28,3.37%,104.210526315789
BROADWATER,,,,,,,,
BROADWATER,"$392,500",0.00%,-14.67%,2.91%,N/A,10,N/A,N/A
BROADWAY,,,,,,,,
BROCKLEHURST,,,,,,,,
BROCKLESBY,,,,,,,,
BROGO,"$495,000",4.76%,20.73%,8.06%,N/A,10,N/A,N/A
BROKE,"$500,000",-1.96%,N/A,16.92%,N/A,19,N/A,80.6363636363636
BROKEN HEAD,,,,,,,,
BROKEN HILL,"$125,000",1.13%,4.17%,0.98%,$260,287,10.82%,108.258741258741
BROKEN HILL NORTH,,,,,,,,
BROKEN HILL WEST,,,,,,,,
BROMBIN,,,,,,,,
BRONTE,"$3,450,000",0.29%,9.00%,7.20%,"$1,335",59,2.01%,41
BROOKDALE,,,,,,,,
BROOKFIELD,,,,,,,,
BROOKLANA,,,,,,,,
BROOKLET,,,,,,,,
BROOKLYN,"$855,000",1.79%,-16.99%,4.41%,$550,16,3.35%,87.4615384615385
BROOKVALE,"$1,437,500",4.89%,22.86%,10.14%,$790,14,2.86%,N/A
BROOMS HEAD,"$740,000",-4.82%,-8.36%,-8.36%,$530,11,3.72%,N/A
BROUGHTON,,,,,,,,
BROUGHTON VALE,"$1,290,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BROUGHTON VILLAGE,,,,,,,,
BROULEE,"$640,000",3.56%,13.27%,4.62%,$450,40,3.66%,105.423076923077
BROWNLOW HILL,"$1,200,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BROWNS CREEK,,,,,,,,
BROWNSVILLE,"$607,000",-8.03%,-10.27%,-10.27%,N/A,12,N/A,N/A
BRUCEDALE,,,,,,,,
BRUNDEE,,,,,,,,
BRUNGLE,,,,,,,,
BRUNKERVILLE,,,,,,,,
BRUNSWICK HEADS,"$1,050,000",-12.86%,-17.49%,7.30%,$650,20,3.22%,N/A
BRUSHGROVE,"$437,500",N/A,N/A,N/A,N/A,10,N/A,N/A
BUCCA,"$1,044,000",10.77%,6.00%,8.79%,N/A,12,N/A,N/A
BUCCA WAUKA,,,,,,,,
BUCHANAN,,,,,,,,
BUCKAJO,"$500,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BUCKENBOWRA,,,,,,,,
BUCKETTY,,,,,,,,
BUDDEROO,,,,,,,,
BUDGEE BUDGEE,"$640,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BUDGEWOI,"$466,250",-1.58%,-6.75%,5.15%,$350,78,3.90%,41.2830188679245
BUFF POINT,"$483,000",0.00%,0.63%,5.07%,$390,47,4.20%,64.125
BUKKULLA,,,,,,,,
BULAHDELAH,"$345,000",-9.21%,-2.82%,6.13%,$350,28,5.28%,96.8947368421053
BULGA,"$560,000",-6.28%,15.46%,-1.17%,N/A,10,N/A,N/A
BULLABURRA,"$536,750",-6.04%,-19.89%,6.32%,$378,18,3.66%,52.5833333333333
BULLI,"$1,107,500",10.20%,19.73%,8.29%,$593,73,2.78%,49.4772727272727
BUMBALDRY,"$340,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BUNDABAH,"$366,250",N/A,N/A,N/A,N/A,10,N/A,N/A
BUNDANOON,"$755,000",2.72%,0.67%,6.96%,$490,65,3.37%,149.770833333333
BUNDARRA,"$160,000",N/A,N/A,N/A,N/A,12,N/A,N/A
BUNDEENA,"$1,035,000",0.73%,10.22%,5.40%,$600,23,3.01%,92.8461538461538
BUNDOOK,,,,,,,,
BUNGALORA,,,,,,,,
BUNGARBY,,,,,,,,
BUNGAWALBIN,,,,,,,,
BUNGENDORE,"$686,000",-1.22%,2.39%,2.90%,$580,114,4.40%,107.578313253012
BUNGONIA,"$312,500",N/A,N/A,N/A,N/A,10,N/A,N/A
BUNGWAHL,"$607,500",N/A,N/A,N/A,N/A,11,N/A,N/A
BUNNALOO,,,,,,,,
BUNNAN,,,,,,,,
BUNYAH,,,,,,,,
BUNYAN,,,,,,,,
BURCHER,,,,,,,,
BURONGA,"$285,000",5.56%,-7.32%,3.68%,N/A,19,N/A,59.3846153846154
BURRA,,,,,,,,
BURRA,"$795,000",-2.15%,-0.62%,0.21%,N/A,15,N/A,91.5
BURRADOO,"$1,772,500",2.75%,14.35%,8.15%,$750,69,2.20%,95.3617021276596
BURRAGA,,,,,,,,
BURRAGATE,,,,,,,,
BURRANEER,"$1,900,000",-6.17%,-10.38%,3.67%,"$1,125",39,3.08%,105.5
BURRANGONG,"$600,000",-2.44%,N/A,N/A,N/A,10,N/A,N/A
BURRAWANG,"$1,375,000",0.00%,6.18%,13.45%,N/A,14,N/A,N/A
BURRELL CREEK,"$568,500",N/A,N/A,N/A,N/A,11,N/A,N/A
BURREN JUNCTION,,,,,,,,
BURRIER,,,,,,,,
BURRILL LAKE,"$540,000",1.89%,4.45%,6.37%,$380,51,3.66%,128.540540540541
BURRINGBAR,"$712,500",-2.13%,-4.55%,12.96%,N/A,16,N/A,96.8181818181818
BURRINJUCK,,,,,,,,
BURRUMBUTTOCK,"$214,000",N/A,N/A,N/A,N/A,10,N/A,N/A
BURWOOD,"$1,980,000",-6.07%,6.45%,8.51%,$650,32,1.71%,N/A
BURWOOD HEIGHTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BURWOOD NORTH,,,,,,,,
BUSBY,"$580,000",3.39%,-3.33%,7.36%,$360,44,3.23%,93.48
BUTTABA,"$515,000",-8.85%,-17.86%,5.68%,$475,16,4.80%,74.7272727272727
BUTTERWICK,,,,,,,,
BUXTON,"$595,000",0.00%,0.85%,7.19%,$410,40,3.58%,61.8846153846154
BYABARRA,"$482,500",-0.77%,-9.81%,-9.81%,N/A,10,N/A,N/A
BYANGUM,,,,,,,,
BYLONG,,,,,,,,
BYROCK,,,,,,,,
BYRON BAY,"$1,475,000",-1.67%,-6.35%,8.95%,$780,67,2.75%,103.62962962963
BYWONG,"$1,130,000",0.00%,3.67%,7.81%,N/A,17,N/A,136.071428571429
CABARITA,"$2,405,000",0.31%,20.85%,8.07%,"$1,100",16,2.38%,N/A
CABARITA BEACH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CABBAGE TREE ISLAND,,,,,,,,
CABBAGE TREE ISLAND,,,,,,,,
CABRAMATTA,"$845,000",2.92%,-7.14%,8.26%,$400,50,2.46%,92.7272727272727
CABRAMATTA WEST,"$800,000",5.26%,3.90%,8.12%,$400,65,2.60%,65.1538461538462
CABRAMURRA,,,,,,,,
CAFFREYS FLAT,,,,,,,,
CALALA,"$370,000",-1.33%,-5.37%,1.65%,$395,74,5.55%,107.372093023256
CALDERWOOD,"$649,000",0.15%,7.67%,26.13%,$570,114,4.57%,83.3943661971831
CALDWELL,,,,,,,,
CALGA,,,,,,,,
CALLAGHAN,,,,,,,,
CALLALA BAY,"$620,000",-1.59%,3.33%,5.55%,$370,39,3.10%,102.15
CALLALA BEACH,"$640,000",-0.78%,0.79%,6.54%,$320,23,2.60%,113.933333333333
CALOOLA,,,,,,,,
CAMBERWELL,,,,,,,,
CAMBEWARRA,"$695,000",15.83%,N/A,N/A,N/A,11,N/A,N/A
CAMBRIDGE GARDENS,"$617,500",-0.40%,-1.59%,6.82%,$435,26,3.66%,32.8
CAMBRIDGE PARK,"$606,250",1.72%,-3.77%,7.04%,$380,78,3.26%,65.3859649122807
CAMDEN,"$728,500",2.61%,6.94%,7.62%,$420,42,3.00%,53.1785714285714
CAMDEN HEAD,"$472,000",N/A,N/A,N/A,N/A,12,N/A,N/A
CAMDEN PARK,"$971,000",3.85%,0.00%,5.05%,$580,33,3.11%,62.2083333333333
CAMDEN SOUTH,"$660,000",0.00%,-1.12%,5.85%,$470,71,3.70%,38.42
CAMELLIA,,,,,,,,
CAMERON PARK,"$639,000",4.75%,7.39%,4.28%,$510,182,4.15%,67.404958677686
CAMMERAY,"$2,430,000",2.75%,10.33%,6.88%,"$1,150",43,2.46%,53.3636363636364
CAMP CREEK,,,,,,,,
CAMPBELLTOWN,"$570,000",1.33%,0.00%,7.08%,$380,128,3.47%,53.3098591549296
CAMPBELLTOWN NORTH,,,,,,,,
CAMPERDOWN,"$1,447,500",10.50%,2.30%,7.24%,$750,34,2.69%,N/A
CAMPSIE,"$1,110,000",-3.27%,-9.02%,6.59%,$540,46,2.53%,59.2352941176471
CAMS WHARF,"$440,000",-1.12%,22.22%,17.29%,N/A,15,N/A,138.545454545455
CANADA BAY,"$1,600,000",0.00%,N/A,17.34%,$725,13,2.36%,68.4166666666667
CANDELO,"$404,500",N/A,N/A,13.37%,N/A,14,N/A,N/A
CANGAI,,,,,,,,
CANIABA,"$590,000",N/A,N/A,N/A,N/A,12,N/A,N/A
CANLEY HEIGHTS,"$767,500",0.99%,1.79%,7.69%,$450,108,3.05%,65.45
CANLEY VALE,"$825,500",2.23%,10.07%,8.54%,$410,64,2.58%,61.9
CANOBOLAS,"$862,000",0.00%,0.00%,0.00%,N/A,10,N/A,N/A
CANOELANDS,,,,,,,,
CANONBA,,,,,,,,
CANOWINDRA,"$305,000",0.00%,10.91%,4.90%,$300,25,5.11%,172.3
CANTERBURY,"$1,300,000",4.63%,13.04%,8.81%,$580,34,2.32%,64.5454545454546
CANTON BEACH,"$422,500",-19.37%,N/A,9.30%,$370,18,4.55%,N/A
CANYONLEIGH,"$960,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CAPARRA,,,,,,,,
CAPERTEE,"$165,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CAPTAINS FLAT,"$278,500",0.36%,3.15%,4.81%,N/A,12,N/A,N/A
CARABOST,,,,,,,,
CARAGABAL,,,,,,,,
CARCOAR,"$375,000",7.91%,N/A,N/A,N/A,11,N/A,N/A
CARDIFF,"$480,000",4.35%,-1.03%,5.01%,$400,92,4.33%,46.9354838709678
CARDIFF HEIGHTS,"$595,750",1.84%,-5.48%,4.59%,$440,14,3.84%,14.8181818181818
CARDIFF SOUTH,"$535,000",5.94%,-0.47%,5.77%,$420,48,4.08%,31.8611111111111
CAREY BAY,"$510,000",0.99%,-1.54%,5.37%,$400,17,4.08%,89.9
CARGO,"$371,250",6.07%,N/A,N/A,N/A,15,N/A,N/A
CARINDA,"$45,000",N/A,N/A,N/A,N/A,11,N/A,N/A
CARINGBAH,"$1,255,000",4.41%,5.02%,7.28%,$700,83,2.90%,61.1
CARINGBAH SOUTH,"$1,580,000",0.96%,6.22%,5.97%,$750,167,2.47%,70.8035714285714
CARLINGFORD,"$1,397,000",4.64%,7.46%,8.00%,$605,176,2.25%,68.5490196078431
CARLINGFORD COURT,,,,,,,,
CARLINGFORD NORTH,,,,,,,,
CARLTON,"$1,255,000",-0.79%,2.66%,6.84%,$575,53,2.38%,71.5454545454546
CAROOL,,,,,,,,
CAROONA,,,,,,,,
CARRAMAR,"$660,000",-0.75%,-8.33%,8.14%,$395,13,3.11%,N/A
CARRATHOOL,,,,,,,,
CARRINGTON,"$595,000",5.31%,-2.46%,7.52%,$450,25,3.93%,85.7058823529412
CARRINGTON,,,,,,,,
CARROLL,"$177,500",N/A,N/A,N/A,N/A,11,N/A,N/A
CARROWBROOK,,,,,,,,
CARRS CREEK,,,,,,,,
CARSS PARK,"$1,230,000",N/A,-2.77%,3.84%,N/A,11,N/A,N/A
CARTWRIGHT,"$555,000",2.78%,N/A,11.15%,$388,18,3.63%,N/A
CARTWRIGHTS HILL,,,,,,,,
CARWOOLA,"$1,087,500",8.75%,18.59%,4.14%,N/A,16,N/A,97
CASINO,"$299,000",1.36%,0.34%,1.80%,$320,192,5.57%,83.976
CASSILIS,,,,,,,,
CASTLE COVE,"$2,600,000",0.00%,5.48%,6.87%,"$1,000",27,2.00%,59.9166666666667
CASTLE DOYLE,,,,,,,,
CASTLE HILL,"$1,547,500",3.17%,15.92%,8.41%,$650,424,2.18%,56.4060606060606
CASTLECRAG,"$3,277,500",16.10%,21.39%,5.52%,"$1,038",31,1.65%,N/A
CASTLEREAGH,"$1,925,000",-7.22%,N/A,10.94%,$750,17,1.87%,N/A
CASUARINA,"$1,158,500",-0.98%,-0.13%,4.35%,$790,53,3.55%,92.4047619047619
CASULA,"$757,500",1.00%,2.02%,6.41%,$485,117,3.33%,60.3283582089552
CASULA MALL,,,,,,,,
CATALINA,"$430,000",0.47%,0.00%,3.16%,$400,64,4.84%,95.2916666666667
CATHCART,,,,,,,,
CATHERINE FIELD,"$693,900",-9.00%,N/A,0.71%,$530,21,3.97%,N/A
CATHERINE HILL BAY,"$757,500",-5.31%,-6.48%,2.58%,$650,12,4.46%,N/A
CATTAI,"$1,307,500",11.28%,-3.15%,14.67%,N/A,14,N/A,N/A
CAVES BEACH,"$870,000",4.82%,11.25%,6.46%,$475,50,2.84%,125.151515151515
CAWDOR,"$3,170,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CAWONGLA,"$482,500",N/A,N/A,N/A,N/A,10,N/A,N/A
CECIL HILLS,"$895,000",5.92%,10.15%,5.92%,$550,51,3.20%,72.75
CECIL PARK,"$2,425,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CEDAR BRUSH CREEK,,,,,,,,
CEDAR CREEK,,,,,,,,
CEDAR CREEK,,,,,,,,
CEDAR PARTY,"$447,500",4.07%,N/A,N/A,N/A,10,N/A,N/A
CELLS RIVER,,,,,,,,
CENTENNIAL PARK,"$4,132,500",3.12%,7.34%,2.28%,N/A,11,N/A,N/A
CENTRAL MACDONALD,,,,,,,,
CENTRAL MANGROVE,,,,,,,,
CENTRAL TILBA,"$695,000",12.10%,N/A,N/A,N/A,10,N/A,N/A
CESSNOCK,"$360,000",-1.37%,-4.00%,5.18%,$330,304,4.77%,99.4903846153846
CESSNOCK WEST,,,,,,,,
CHAIN VALLEY BAY,"$596,750",-4.52%,21.17%,9.10%,$370,21,3.22%,95.5
CHAKOLA,,,,,,,,
CHAMBIGNE,,,,,,,,
CHARBON,,,,,,,,
CHARLES STURT UNIVERSITY,,,,,,,,
CHARLES STURT UNIVERSITY,,,,,,,,
CHARLESTOWN,"$620,000",3.03%,0.81%,5.32%,$430,171,3.61%,58.271186440678
CHARLOTTE BAY,,,,,,,,
CHARMHAVEN,"$460,000",-1.08%,-3.16%,4.54%,$370,46,4.18%,56.7096774193549
CHATHAM,,,,,,,,
CHATSWOOD,"$2,263,950",1.75%,-0.70%,7.43%,$900,99,2.07%,71.8095238095238
CHATSWOOD WEST,"$1,737,875",0.00%,9.99%,6.40%,"$1,000",18,2.99%,N/A
CHATSWORTH,,,,,,,,
CHEERO POINT,,,,,,,,
CHELTENHAM,"$1,730,000",11.61%,-5.46%,8.28%,$738,13,2.22%,N/A
CHERRYBROOK,"$1,481,500",2.17%,6.97%,7.94%,$750,180,2.63%,54.2970297029703
CHESTER HILL,"$810,000",2.02%,6.58%,7.35%,$465,132,2.99%,65.9183673469388
CHIFLEY,"$1,660,000",-2.06%,-2.35%,6.76%,"$1,000",41,3.13%,51.4166666666667
CHILCOTTS GRASS,,,,,,,,
CHILLINGHAM,"$727,500",11.07%,N/A,N/A,N/A,10,N/A,N/A
CHINDERAH,"$705,000",3.15%,15.20%,8.40%,N/A,10,N/A,N/A
CHIPPENDALE,"$1,390,000",-1.24%,N/A,12.25%,$895,15,3.35%,N/A
CHIPPING NORTON,"$915,000",2.81%,0.77%,6.20%,$580,83,3.30%,42.75
CHISHOLM,"$619,500",0.73%,-1.49%,1.69%,$530,106,4.45%,118.626666666667
CHISWICK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHITTAWAY BAY,"$570,000",0.00%,-2.56%,5.55%,$445,31,4.06%,34.6111111111111
CHITTAWAY POINT,"$666,000",0.00%,N/A,10.65%,$345,22,2.69%,81.0769230769231
CHULLORA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHURCH POINT,"$1,850,000",14.84%,-28.85%,8.36%,$885,17,2.49%,69.5
CLANDULLA,"$199,500",N/A,N/A,N/A,N/A,10,N/A,N/A
CLAREMONT MEADOWS,"$700,000",2.54%,2.19%,7.90%,$425,51,3.16%,56.2352941176471
CLARENCE,"$567,500",N/A,N/A,N/A,N/A,10,N/A,N/A
CLARENCE TOWN,"$480,000",-6.34%,-14.29%,4.86%,$370,36,4.01%,96.7619047619048
CLARENDON,,,,,,,,
CLARENZA,"$527,500",N/A,N/A,N/A,N/A,10,N/A,N/A
CLAYMORE,"$700,000",2.19%,N/A,N/A,$500,18,3.71%,61.9166666666667
CLEAR CREEK,,,,,,,,
CLEMTON PARK,"$1,175,000",0.86%,4.35%,3.08%,$608,13,2.69%,N/A
CLERGATE,,,,,,,,
CLIFTLEIGH,"$385,000",14.93%,22.42%,3.03%,$430,70,5.81%,80.1315789473684
CLIFTON,,,,,,,,
CLIFTON GROVE,"$675,000",-10.60%,-15.63%,0.28%,N/A,13,N/A,68.9
CLONTARF,"$3,500,000",-7.28%,-4.11%,4.59%,"$1,448",32,2.15%,78.4615384615385
CLOTHIERS CREEK,,,,,,,,
CLOVELLY,"$3,215,000",8.43%,17.12%,6.61%,"$1,375",42,2.22%,N/A
CLOVELLY WEST,,,,,,,,
CLUNES,"$696,250",-1.94%,1.57%,5.48%,$520,24,3.88%,104.153846153846
CLYBUCCA,"$497,500",N/A,N/A,N/A,N/A,10,N/A,N/A
CLYDE,,,,,,,,
COAL POINT,"$957,500",15.43%,26.82%,7.03%,$550,29,2.99%,102.1
COALCLIFF,,,,,,,,
COALDALE,,,,,,,,
COBAKI,,,,,,,,
COBAR,"$140,000",-33.01%,-36.36%,-2.33%,$270,52,10.03%,142.653846153846
COBAR PARK,,,,,,,,
COBARGO,"$367,500",-0.68%,-14.24%,5.66%,N/A,18,N/A,108.2
COBBITTY,"$735,000",1.03%,-2.00%,0.78%,$500,113,3.54%,87.4929577464789
COFFS HARBOUR,"$495,000",0.00%,-2.46%,3.24%,$450,289,4.73%,85.3631578947369
COFFS HARBOUR JETTY,,,,,,,,
COFFS HARBOUR PLAZA,,,,,,,,
COILA,,,,,,,,
COLEAMBALLY,"$194,000",3.19%,2.92%,3.53%,$280,14,7.51%,N/A
COLEDALE,"$1,500,000",1.69%,9.89%,9.55%,N/A,26,N/A,89
COLLARENEBRI,"$45,000",N/A,N/A,N/A,N/A,10,N/A,N/A
COLLAROY,"$2,370,000",5.80%,-14.29%,7.54%,"$1,100",50,2.41%,64.875
COLLAROY BEACH,,,,,,,,
COLLAROY PLATEAU WEST,,,,,,,,
COLLECTOR,"$505,000",N/A,N/A,N/A,N/A,10,N/A,N/A
COLLIE,,,,,,,,
COLLINGULLIE,"$270,000",0.00%,N/A,N/A,N/A,10,N/A,N/A
COLLINS CREEK,,,,,,,,
COLO,,,,,,,,
COLO,,,,,,,,
COLO HEIGHTS,"$801,000",N/A,N/A,N/A,N/A,10,N/A,N/A
COLO VALE,"$590,000",-10.67%,-9.23%,6.85%,$440,22,3.88%,118
COLYTON,"$602,000",3.79%,2.47%,7.16%,$370,87,3.20%,40.2131147540984
COMARA,,,,,,,,
COMBANING,,,,,,,,
COMBARA,,,,,,,,
COMBOYNE,"$333,750",-1.43%,N/A,-20.63%,N/A,12,N/A,N/A
COME BY CHANCE,,,,,,,,
COMO,"$1,226,000",0.66%,5.69%,5.84%,$650,51,2.76%,49.6875
CONARGO,,,,,,,,
CONCORD,"$1,900,000",2.43%,3.12%,7.25%,$738,123,2.02%,78.7631578947368
CONCORD WEST,"$1,825,000",2.82%,7.51%,7.77%,$705,49,2.01%,65.2916666666667
CONDELL PARK,"$917,500",6.07%,7.94%,7.18%,$600,91,3.40%,74.25
CONDOBOLIN,"$180,000",-1.10%,7.46%,2.91%,$245,39,7.08%,134.0625
CONDONG,"$470,000",-2.53%,N/A,N/A,N/A,10,N/A,N/A
CONGARINNI,,,,,,,,
CONGARINNI NORTH,,,,,,,,
CONGEWAI,,,,,,,,
CONGO,"$629,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CONISTON,"$625,000",-4.58%,-3.10%,5.86%,$450,17,3.74%,76
CONJOLA,,,,,,,,
CONJOLA PARK,"$400,000",-22.34%,-25.71%,10.26%,$330,10,3.86%,N/A
CONNELLS POINT,"$1,720,000",-1.35%,-4.44%,5.71%,$805,29,2.43%,55.1333333333333
CONSTITUTION HILL,"$897,500",4.36%,8.79%,7.67%,$450,34,2.61%,31.0588235294118
COOGEE,"$2,757,500",2.13%,5.55%,4.82%,$990,57,1.87%,69.8
COOKAMIDGERA,,,,,,,,
COOKARDINIA,,,,,,,,
COOKS GAP,"$320,405",-7.35%,N/A,7.97%,N/A,12,N/A,N/A
COOKS HILL,"$1,182,500",7.74%,11.56%,9.08%,$550,29,2.42%,68.1538461538462
COOLABAH,,,,,,,,
COOLAC,,,,,,,,
COOLAGOLITE,"$690,000",3.06%,N/A,N/A,N/A,10,N/A,N/A
COOLAH,"$215,000",27.98%,29.52%,8.99%,N/A,16,N/A,N/A
COOLAMON,"$285,000",-1.04%,-4.04%,4.41%,$275,42,5.02%,130.222222222222
COOLANGATTA,"$1,077,500",15.63%,30.23%,30.23%,N/A,10,N/A,N/A
COOLATAI,,,,,,,,
COOLEYS CREEK,,,,,,,,
COOLGARDIE,,,,,,,,
COOLONGOLOOK,"$400,000",-1.81%,-17.68%,-0.60%,N/A,11,N/A,N/A
COOMA,"$315,000",-1.56%,0.00%,4.93%,$320,159,5.28%,88.2621359223301
COOMA NORTH,,,,,,,,
COOMBA BAY,,,,,,,,
COOMBA PARK,"$372,500",11.53%,12.88%,8.93%,$320,30,4.47%,157.678571428571
COONABARABRAN,"$158,500",1.60%,-14.32%,0.31%,$245,55,8.04%,111.105263157895
COONAMBLE,"$125,000",31.58%,47.06%,6.30%,$200,31,8.32%,98.8181818181818
COONGBAR,,,,,,,,
COOPERABUNG,,,,,,,,
COOPERNOOK,"$380,000",-3.18%,9.35%,9.76%,N/A,18,N/A,66.25
COOPERS GULLY,,,,,,,,
COOPERS SHOOT,"$2,900,000",N/A,N/A,N/A,N/A,11,N/A,N/A
COORABELL,"$2,875,000",9.84%,N/A,N/A,$760,12,1.37%,N/A
COORANBONG,"$570,000",3.64%,7.85%,6.52%,$420,109,3.83%,102.208333333333
COOTAMUNDRA,"$242,000",-5.56%,-9.19%,3.99%,$280,154,6.02%,100.329896907217
COOTRALANTRA,,,,,,,,
COOYAL,,,,,,,,
COPACABANA,"$862,500",-6.96%,-4.59%,5.09%,$600,46,3.62%,109.12
COPELAND,,,,,,,,
COPMANHURST,"$325,000",0.00%,0.78%,10.67%,N/A,10,N/A,N/A
CORAKI,"$342,000",2.09%,14.96%,4.51%,$350,19,5.32%,109.666666666667
CORALVILLE,,,,,,,,
CORAMBA,"$462,500",15.63%,17.83%,5.77%,N/A,12,N/A,N/A
CORBIE HILL,,,,,,,,
CORDEAUX HEIGHTS,"$790,000",0.64%,-2.47%,6.12%,$600,54,3.95%,62.21875
CORINDI BEACH,"$510,000",5.15%,2.00%,4.10%,$460,29,4.69%,106.95
CORLETTE,"$710,000",0.35%,0.00%,5.43%,$500,101,3.66%,69
CORNDALE,"$795,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CORNWALLIS,,,,,,,,
COROBIMILLA,,,,,,,,
COROWA,"$265,000",2.51%,12.77%,3.25%,$280,127,5.49%,83
CORRIMAL,"$775,000",4.73%,3.33%,7.44%,$490,64,3.29%,73.4
COTTAGE POINT,,,,,,,,
COURABYRA,,,,,,,,
COURIDJAH,"$760,000",N/A,N/A,N/A,N/A,10,N/A,N/A
COUTTS CROSSING,"$268,750",N/A,-14.68%,0.59%,N/A,10,N/A,N/A
COW FLAT,,,,,,,,
COWAN,"$905,000",N/A,N/A,N/A,N/A,12,N/A,N/A
COWPER,,,,,,,,
COWRA,"$272,500",-0.18%,0.93%,4.43%,$270,189,5.15%,93.3361344537815
CRABBES CREEK,"$900,000",N/A,N/A,N/A,N/A,11,N/A,N/A
CRACKENBACK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRAIGIE,,,,,,,,
CRANEBROOK,"$645,000",1.57%,3.20%,6.81%,$430,197,3.47%,48.2538461538462
CRAVEN,,,,,,,,
CREMORNE,"$2,635,000",0.38%,-9.39%,5.65%,"$1,050",56,2.07%,33.2307692307692
CREMORNE JUNCTION,,,,,,,,
CREMORNE POINT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRESCENT HEAD,"$675,000",-2.21%,5.47%,5.43%,$418,28,3.22%,136.785714285714
CRESTWOOD,"$580,000",2.65%,-0.85%,3.22%,$480,47,4.30%,103.695652173913
CRINGILA,"$419,500",2.94%,-5.46%,7.32%,$385,26,4.77%,74.0714285714286
CROMER,"$1,600,000",1.59%,16.36%,7.89%,$900,76,2.93%,50.92
CRONULLA,"$2,205,000",14.99%,5.00%,6.20%,$863,66,2.03%,75.8
CROOKED CORNER,,,,,,,,
CROOKWELL,"$340,000",-4.23%,-2.86%,3.74%,$340,35,5.20%,118.772727272727
CROPPA CREEK,,,,,,,,
CROSSLANDS,"$535,000",1.90%,4.80%,4.85%,N/A,15,N/A,N/A
CROUDACE BAY,"$651,000",-3.41%,-13.00%,2.93%,N/A,10,N/A,N/A
CROWDY HEAD,,,,,,,,
CROWS NEST,"$2,100,000",3.07%,5.53%,7.57%,$950,43,2.35%,N/A
CROWTHER,,,,,,,,
CROYDON,"$1,538,500",8.84%,14.17%,6.78%,$650,65,2.20%,47.2173913043478
CROYDON PARK,"$1,310,000",0.77%,4.72%,6.88%,$575,73,2.28%,70.4
CRUDINE,,,,,,,,
CRYON,,,,,,,,
CRYSTAL CREEK,,,,,,,,
CUDAL,"$205,000",-16.33%,6.49%,7.58%,N/A,11,N/A,N/A
CUDGEN,"$660,000",-18.39%,-22.54%,3.99%,N/A,12,N/A,N/A
CUDGERA CREEK,,,,,,,,
CUDMIRRAH,"$525,000",18.71%,N/A,19.97%,N/A,14,N/A,N/A
CULBURRA BEACH,"$550,000",0.00%,-0.90%,5.61%,$340,93,3.21%,97.3333333333333
CULCAIRN,"$180,000",-1.37%,12.50%,3.30%,$250,39,7.22%,134.32
CULLEN BULLEN,"$189,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CUMBALUM,"$685,000",0.74%,-0.72%,3.03%,$600,35,4.55%,78.304347826087
CUMBERLAND REACH,,,,,,,,
CUMBORAH,,,,,,,,
CUMNOCK,"$145,000",N/A,N/A,N/A,N/A,11,N/A,N/A
CUNDLETOWN,"$368,500",0.41%,2.36%,4.33%,$350,32,4.94%,64.3478260869565
CUNJURONG POINT,"$315,000",0.00%,N/A,7.62%,$195,10,3.22%,N/A
CURBAN,,,,,,,,
CURL CURL,"$2,315,000",-1.02%,-1.59%,7.40%,$985,32,2.21%,67
CURLEWIS,"$225,000",25.00%,N/A,-3.07%,$300,10,6.93%,N/A
CURLWAA,"$50,300",N/A,N/A,N/A,N/A,10,N/A,N/A
CURRA CREEK,,,,,,,,
CURRABUBULA,"$310,000",N/A,N/A,N/A,N/A,10,N/A,N/A
CURRANS HILL,"$610,000",-0.41%,-6.33%,5.54%,$440,67,3.75%,33.9636363636364
CURRARONG,"$710,000",8.40%,2.16%,5.34%,N/A,15,N/A,N/A
CURRAWANG,,,,,,,,
CURRAWARNA,,,,,,,,
CURROWAN,,,,,,,,
CUTTABRI,,,,,,,,
